-4.50168,-4.50168,-4.00168,
-4.50263,-4.50263,-4,
-4.59259,-4.59259,-3.59259,
-4.67665,-4.5,-3.32335,
-4.51836,-5,-3.5,
-4.64606,-4.64606,-3.5,
-4.51836,-5,-3.5,
-4.61663,-4.61663,-3.11663,
-4.53001,-5,-3.46999,
-4.6688,-4.6688,-3,
-4.5,-4.69741,-2.69741,
-4.71308,-5,-3,
-4.69296,-5,-2.80704,
-4.65851,-5,-2.5,
-4.60067,-5,-2.39933,
-4.54628,-4.54628,2.45372,
-4.57311,-4.57311,2.5,
-4.61604,-4.61604,2.88396,
-4.63181,-5,3,
-4.67973,-4.67973,3,
-4.63181,-5,3,
-4.55793,-4.55793,3.44207,
-4.66056,-5,3.16056,
-4.57379,-4.57379,3.5,
-4.72078,-5,3.5,
-4.66759,-5,3.66759,
-4.55734,-5,4,
-4.53287,-5,4.03287,
-4.50168,-4.00168,-4.50168,
-4.52325,-4,-4.47675,
-4.5026,-4.0026,-4.5,
-4.62612,-4.12612,-4.12612,
-4.68694,-4.18694,-4,
-4.68694,-4.18694,-4,
-4.50459,-4.5,-4,
-4.69129,-4.19129,-3.69129,
-4.50734,-4.5,-3.99266,
-4.69512,-4.5,-3.5,
-4.55147,-4.05146,-3.05146,
-4.74954,-4.24954,-3.5,
-4.69512,-4.5,-3.5,
-4.55146,-4.05146,-3.05146,
-4.67665,-4.5,-3.32335,
-4.5446,-4.0446,-3,
-4.64355,-4.5,-3,
-4.59243,-4.5,-2.90757,
-4.56201,-4.06201,1.93799,
-4.59483,-4.09483,2,
-4.66359,-4.16359,2.33641,
-4.7329,-4.2329,2.5,
-4.61576,-4.5,2.5,
-4.6822,-4.1822,2.8178,
-4.70284,-4.5,3,
-4.63946,-4.5,2.63946,
-4.712,-4.212,3,
-4.70284,-4.5,3,
-4.65496,-4.5,3.15496,
-4.54746,-4.5,3.5,
-4.52771,-4.5,3.52771,
-5,-3.5,-4.51836,
-5,-3.51028,-4.51028,
-4.59259,-3.59259,-4.59259,
-5,-3.52304,-4.5,
-5,-3.69358,-4.19358,
-4.67172,-3.67172,-4.5,
-4.50601,-4,-4.5,
-4.7651,-3.7651,-4.2651,
-4.90948,-3.90948,-4,
-4.52326,-4,-4.47675,
-5,-3.85844,-4,
-5,-3.78835,-3.78835,
-4.90948,-3.90948,-4,
-4.87939,-4,-4,
-4.88663,-3.88663,-3.88663,
-4.89217,-3.89217,-3.5,
-4.88517,-4,-3.61483,
-5,-3.79616,-3.5,
-4.89217,-3.89217,-3.5,
-4.88842,-4,-3.5,
-4.72984,-4,-3.27016,
-4.54462,-4,-3,
-4.52007,-4,-2.97993,
-5,-3.59664,1.90336,
-4.67255,-3.67255,1.82745,
-5,-3.70287,2,
-5,-3.75439,2.24561,
-5,-3.75439,2.24561,
-4.80013,-3.80013,2,
-4.71035,-4,2,
-4.82681,-3.82681,2.17319,
-4.87206,-4,2.37206,
-5,-3.90287,2.5,
-4.97931,-3.5,2.97931,
-4.94157,-3.94157,2.5,
-4.929,-4,2.5,
-4.87941,-3.87941,2.62059,
-4.82927,-4,2.82927,
-4.75053,-3.75053,3,
-4.77955,-4,3,
-4.64338,-4,3.14338,
-5,-3.15357,-4.65357,
-5,-3.5,-4.51836,
-4.61663,-3.11663,-4.61663,
-4.9721,-3.5,-4.5279,
-5,-3.27107,-3.27107,
-5,-3.27107,-3.27107,
-5,-3.5,-3.34488,
-4.80684,-3.30684,-3.30684,
-4.7648,-3.5,-3.2352,
-5,-3.29631,1.70369,
-4.77156,-3.27156,1.72844,
-5,-3.5,1.80345,
-4.77156,-3.27156,1.72844,
-4.64398,-3.5,1.64398,
-5,-3.5,2.96354,
-4.90587,-3.40586,3,
-4.97931,-3.5,2.97931,
-5,-3.43873,3,
-4.90587,-3.40586,3,
-4.95303,-3.5,3,
-4.6235,-3.5,3.1235,
-5,-2.67711,-4.67711,
-5,-3,-4.71308,
-4.81509,-3,-4.68491,
-4.69741,-2.69741,-4.5,
-4.69741,-2.69741,-4.5,
-5,-3,-3.17256,
-5,-2.51929,-3,
-5,-3,-3.17256,
-4.80387,-3,-3.19613,
-4.74379,-2.74379,-3.24379,
-4.80387,-3,-3.19613,
-5,-2.51929,-3,
-4.5,-2.5,1.98875,
-5,-2.94033,1.55967,
-5,-3,1.55307,
-4.59228,-2.59228,1.90772,
-4.62358,-3,1.62358,
-4.55083,-2.55083,2.94917,
-5,-2.81149,3.18851,
-5,-2.81149,3.18851,
-4.63001,-2.63001,3,
-4.5,-2.93177,3.06823,
-5,-3,3.11988,
-4.57979,-3,3.07979,
-4.89605,-2.89605,3.10395,
-4.57979,-3,3.07979,
-5,-2.5,-4.65851,
-4.9019,-2.5,-4.5981,
-5,-2.23099,-4.5,
-4.89437,-2.39437,-4.5,
-4.87176,-2,-4.12824,
-4.89437,-2.39437,-4.5,
-4.73451,-2.5,-4.5,
-4.80265,-2.30265,-4.30265,
-4.62685,-2.5,-4.37315,
-4.68558,-2.18558,-4,
-4.62218,-2.12218,-3.62218,
-4.73364,-2,-3.26636,
-4.63598,-2.13598,-3.5,
-4.5,-2.40043,-3.40043,
-4.72382,-2.22382,-3.22382,
-5,-2.48682,-2.98682,
-4.98955,-2.48955,-3,
-5,-2.5,-2.99449,
-4.98913,-2.5,-3,
-4.99545,-2.49545,-2.99545,
-5,-2.13173,1.86827,
-5,-2.5,1.62484,
-4.78564,-2.5,1.78564,
-4.78878,-2.28878,2,
-4.67457,-2.17457,2.32543,
-4.63821,-2.13821,2.5,
-4.64176,-2.14176,2.85824,
-4.70788,-2.20788,3,
-5,-2.5,3.26059,
-4.58171,-2.5,3,
-4.82262,-2.32262,3.17738,
-5,-2.02228,3.5,
-5,-2,-4.29998,
-4.87176,-2,-4.12824,
-5,-1.70932,-4,
-4.77178,-2,-4,
-4.87892,-1.87892,-4,
-4.77178,-2,-4,
-4.80777,-1.80777,-3.80777,
-4.7203,-2,-3.7797,
-4.75714,-1.75715,-3.5,
-4.71755,-1.71755,-3.21755,
-4.65073,-2,-3.5,
-4.71755,-1.71755,-3.21755,
-4.73364,-2,-3.26636,
-4.85659,-1.5,-2.64341,
-4.80511,-1.80511,-3,
-5,-2,-2.80004,
-4.82776,-2,-3,
-4.86075,-1.86075,-2.86075,
-5,-1.64779,-2.5,
-5,-2,1.95887,
-4.97992,-2,1.97992,
-5,-1.95764,2,
-4.99495,-1.5,2.49495,
-4.98041,-1.98041,2,
-4.96495,-1.96495,2.03505,
-4.95996,-2,2,
-4.96495,-1.96495,2.03505,
-4.79814,-2,2.29814,
-4.81521,-1.81521,2.5,
-4.73924,-1.73924,2.76076,
-4.68344,-2,2.5,
-4.73924,-1.73924,2.76076,
-4.68742,-2,2.68742,
-4.7755,-1.5,3.2755,
-4.7435,-1.7435,3,
-4.69157,-2,3,
-4.75189,-1.75189,3.24811,
-4.9716,-2,3.4716,
-4.98224,-1.98224,3.5,
-5,-1.89342,3.60658,
-4.98224,-1.98224,3.5,
-5,-2,3.5113,
-4.98849,-2,3.5,
-4.99058,-1.99058,3.50942,
-5,-1.5,-3.76029,
-4.90004,-1.5,-3.59996,
-5,-1.12644,-3.5,
-4.87152,-1.37152,-3.5,
-4.73036,-1.23036,-3.23036,
-4.83593,-1.5,-3.5,
-4.73036,-1.23036,-3.23036,
-4.78444,-1.5,-3.21556,
-4.67754,-1.17754,-3,
-4.67754,-1.17754,-3,
-4.61318,-1.11318,-2.61318,
-4.74488,-1.5,-3,
-4.61318,-1.11318,-2.61318,
-4.85659,-1.5,-2.64341,
-4.71557,-1.21557,-2.5,
-5,-1.5,-2.36532,
-4.90224,-1.5,-2.5,
-4.87457,-1.37457,-2.37457,
-5,-1.16859,-2,
-5,-1.48639,2.5,
-5,-1.5,2.48868,
-4.99495,-1.5,2.49495,
-5,-1.48639,2.5,
-4.99391,-1.49391,2.5,
-4.93262,-1,2.93261,
-4.99391,-1.49391,2.5,
-4.99075,-1.5,2.5,
-4.98498,-1.48498,2.51502,
-4.83932,-1.5,2.83932,
-4.78128,-1.28128,3,
